"Qué protocolo de seguridad usa ?","Usa Neo-Trust, un protocolo privado con 15 controles de seguridad."
"En qué exchanges funciona ?","Funciona en Bitso y Binance."
"Con qué stablecoin trabaja en Bitso?","Trabaja exclusivamente con el stablecoin MXN en Bitso."
"Con qué stablecoin trabaja en Binance?","Trabaja exclusivamente con el stablecoin UST en Binance."
"Puedo elegir las criptomonedas para operar?","Sí, tú seleccionas las criptomonedas para el trading automatizado."
"Qué pasa con mis órdenes manuales?","Las órdenes manuales permanecen intactas y fuera del alcance del bot. Siempre y cuando esa cryptomoneda no se seleccione"
"Cuál es el requisito mínimo para operar?","Se requieren al menos 100 dólares en la cuenta. en Bitso MXN y en Binance USDT"
"Qué debo hacer con mis criptomonedas antes de usar el bot?","Moverlas a una stablecoin compatible (MXN en Bitso o UST en Binance)."
"Cuántas criptomonedas soporta en Binance?","124 criptomonedas, incluyendo USDT, BTC, ETH, etc."
"Cuántas criptomonedas soporta en Bitso?","9 criptomonedas: MXN, BAT, BCH, BTC, ETH, LTC, MANA, SOL, TRX, XRP."
"Cómo monitoreo las operaciones?","Con un dashboard que muestra órdenes abiertas y balances en tiempo real."
"Cuánto cuesta ?","No tiene costo fijo, solo compartes aportacines voluntarias de las ganancias generadas."
"Ha generado pérdidas históricamente?","En 5 años no ha generado pérdidas netas, aunque algunos años operó en negativo temporalmente."
"Es seguro usar ?","Sí, pero el mercado crypto es riesgoso; el bot opera con cautela."
"Cuánto tarda en colocar órdenes?","Puede tardar hasta 5 meses, esperando el mejor momento para comprar/vender."
"Cada cuánto valida los tokens de Bitso/Binance?","Los valida cada 24 horas."
"Puedo hacer trading manual simultáneamente?","Sí, pero se recomienda evitar el FOMO para mantener la eficiencia."
"Cómo evito que el bot venda una cripto?","No seleccionándola en la configuración web del bot."
"Qué es el Neo-Trust?","Un protocolo de seguridad con 15 controles para proteger tu información."
"Qué stablecoins son compatibles?","MXN en Bitso y UST en Binance."
"El bot modifica órdenes manuales?","No, las órdenes manuales no son alteradas por el bot. Siempre y cuando no se seleccione esa crypto para trading"
"Puedo usar cualquier criptomoneda en el bot?","Solo las que configures en la plataforma."
"Hay un saldo mínimo en Binance?","Sí, 100 USDT como mínimo."
"Qué pasa si no tengo 100 USDT?","El bot no iniciará operaciones."
"Cómo sé que el bot está activo?","El dashboard muestra el estado en tiempo real."
"El bot opera con pérdidas?","No, en 5 años no ha cerrado con pérdidas netas."
"Qué riesgos tiene?","Los inherentes al mercado crypto, aunque el bot minimiza riesgos."
"Puede operar con Bitcoin?","Sí, si está seleccionado en la configuración."
"Puede operar con Ethereum?","Sí, si está seleccionado en la configuración."
"Qué hace el bot con órdenes abiertas?","Las monitorea y ajusta según la estrategia programada."
"Puedo configurar múltiples estrategias?","En este momento solo trabaja con la escala ,"
"Cómo se calculan las ganancias compartidas?","Es una aportacion voluntaria"
"Hay versión móvil del dashboard?","En este momento se encuetra en desarrollo, pero funciona en web."
"Qué es FOMO y por qué evitarlo?","Es el miedo a perder oportunidades; puede afectar la eficiencia del bot."
"El bot usa inteligencia artificial?","Si, analiza mercados para tomar decisiones."
"Puedo desconectar el bot cuando quiera?","Sí, al no seleccionar criptomonedas o desactivarlo."
"Qué ventajas tiene sobre trading manual?","Automatización, menor carga emocional y estrategias disciplinadas."
"Qué criptos tienen más prioridad?","Depende de tu configuración; y la Escala ."
"Cómo maneja volatilidad extrema?","Opera con cautela y espera momentos óptimos (hasta 5 meses)."
"Puedo usar  en otros exchanges?","Solo Bitso y Binance actualmente."
"Qué pasa si Binance/Bitso tienen fallos?","El bot valida tokens cada 24h, pero depende de la estabilidad del exchange."
"El bot puede liquidar todas mis cryptos?","Solo opera con las que selecciones en la configuración."
"Cómo sé que mi información está segura?","Usa Neo-Trust y guardaespaldas para protección de datos."
"Qué hago si olvido configurar una crypto?","El bot no operará con ella; puedes añadirla después."
"Puedo cambiar de stablecoin después?","El bot solo trabaja con  (MXN/USDT)."
"El bot hace trading de margen?","Solo spot trading."
"Puedo probar el bot sin fondos?","No, requiere mínimo 100 USDT para operar."
"Qué pasa si el mercado cae abruptamente?","El bot espera recuperaciones (históricamente no ha cerrado en pérdida)."
"Puedo usar  sin conocimientos?","Sí, pero es recomendable entender riesgos del mercado crypto."
"El bot recomienda cryptos?","Si te Selecciona 7 por default y tú seleccionas las demas criptomonedas en la plataforma." 
"Cómo elige momentos para comprar/vender?","Analiza mercados; puede tardar meses en decidir."
"Notifica cuando coloca órdenes?","El dashboard muestra órdenes abiertas; no se mencionan notificaciones."
"Qué pasa si no hay liquidez?","El bot espera condiciones óptimas (hasta 5 meses)."
"Puedo usar API de Binance/Bitso?","Sí, el bot se conecta via API (valida tokens cada 24h)."